sex,age,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Male,82,21654.0,23129.904761904683,23287.904761904683,24054.0,23722.190476190437,24262.190476190437,25036.28571428566,25832.740486654882,25810.356962620852,26750.31114485523,27245.79663362004,27121.5244633396,24627.409179657632,26186.399888603075,28346.952767621442,30072.64846155749,30378.443285919413,32117.591094769417,39259.17423509182,36813.756028687305,35770.61095125861,35709.97672783926,35712.880882617814,36058.297241120206,37160.96910353331,37929.17129328284,39611.905196221254,41456.31714859567,42450.78361877146,44362.26580522426,45904.141179474216,47536.16295737705,49127.706607117885,50259.86002135686,52114.18216901982,54023.86408831143,54633.62873770421,55548.091573326805,56443.43385299585,56497.19863134704
Female,86,23056.0,22530.0,21986.0,22926.0,23558.0,24894.0,24334.09523809522,24166.111194168072,24104.298359673656,24002.851466275035,25422.98618531003,25910.112351469805,26249.001606168084,27151.093926038455,27462.34384930147,27283.590195852237,25598.15477729008,27718.173639110624,29933.19459628167,30839.655885091677,31357.231206121873,33319.07311769866,39351.75369590901,37589.16091643485,36812.34413262404,36947.36424831828,36579.129676298835,37470.2636556324,38165.7438779032,39329.34169595829,40002.55355669728,41565.6965786324,42913.26748026007,44687.744546248265,46160.46213450884,48220.63206344727,49669.2726719894,51443.99638516203,53750.98091496109,55128.11955971966
Female,74,43956.0,45032.09523809522,45488.09523809522,44938.19047619044,41682.28571428565,45040.28571428565,48224.28571428565,49311.11636522105,49781.73446641887,52796.06029878462,62122.57897508108,58980.44562176665,57585.52851377528,57600.0214592057,56829.09510566246,58055.20358790405,58952.57995423144,60565.84136629323,61408.30755274945,63679.606836958614,65480.22671727123,67918.65432104902,69987.6508326125,72934.8049080521,74777.96881790928,77231.1568677312,80496.59119529463,82280.594926325,83332.81992541306,84459.07028860904,83914.11541802446,84010.30168325287,84317.14225406405,83317.37200930384,84395.4791349869,84011.00609485903,83332.18858059723,83293.5723768503,83914.47490358543,84679.95121780987
Female,15,89488.0,91044.09523809521,90054.09523809521,90032.09523809521,90368.09523809521,89926.28571428565,88712.38095238087,93178.84717488001,94625.43304045481,97109.16995211208,101715.26182238264,105038.64161020085,110219.11976989967,110859.62600058403,112813.1969170915,115656.8228016313,118140.73190068381,114897.3226757485,111538.00656964708,111567.59976733844,112390.08950054986,110588.78241971004,109656.45302803398,110039.49750355906,110341.20652719022,110579.78482560941,110879.9670979162,111208.09530607169,111504.93802516462,111758.86499213368,112010.28561333049,112261.52948322403,112506.95365069647,112788.07004014385,113117.85595877681,113494.76438019001,113923.88988020862,114410.55651350529,114958.73646626568,115562.84146979063
Female,14,90584.0,89694.0,89306.0,89660.0,89066.19047619044,88332.38095238087,92718.4761904761,94160.44646897147,96680.14200673648,101339.569744324,104694.01666321704,109928.34873474661,110578.44153199368,112542.8791065144,115409.21814791467,117929.80957743946,114651.11201635588,111251.13645314681,111282.91245725847,112116.94362134127,110301.84905931223,109354.32240923827,109742.29398634778,110047.89596816347,110289.54893162784,110593.51313181064,110925.07720807464,111225.62457531449,111482.64732402386,111736.36273876941,111990.82946900105,112238.85322865401,112522.19393143628,112854.74761444869,113234.70211942267,113666.65391501787,114157.18830184828,114709.1658153458,115318.21967019206,115980.41399924122
Female,89,16930.0,16316.0,16536.0,16556.09523809523,16250.09523809523,15920.09523809523,16634.09523809523,17167.26058309852,17887.59496905874,17494.02477846198,17437.778818745035,17481.44505365339,17475.938674520123,18589.558422701684,19038.11747430978,19374.23575308623,20116.91092366723,20448.477558305294,20385.602583810447,19204.621133491582,20862.16999784002,22625.401445764204,23409.42205452849,23890.063950271215,25435.483355883604,30133.558964877033,28872.550493266448,28330.26655257647,28503.257633385645,28275.988047685234,29023.02998367164,29629.54565869967,30600.210137025817,31195.724718935067,32474.621365955063,33614.03052665743,35095.07218233346,36327.40966014285,38020.00451823606,39267.58265384464
Male,3,120884.531907,121780.24323349522,126245.27774228563,130365.82257076184,133181.4285714285,129143.42857142849,125653.33333333326,125037.75008360762,126172.39199199126,122762.32212710546,122764.9353737136,123283.79727004707,123687.42019344767,124005.96823902044,124404.64094075827,124837.28290874965,125229.35473321681,125564.72901553607,125894.85383902307,126222.3553585454,126542.14760056147,126898.66684719248,127311.31880074427,127778.46476262409,128309.59553439544,128908.9282437857,129588.32185857306,130338.7499144494,131156.52982647548,132028.06705469044,133013.33963971882,134055.4677203318,135212.5065022192,136249.38441558322,136977.48491350687,137604.16669460168,138113.400925371,138506.05459150867,138784.15571019566,138960.69639300107
Male,66,51588.0,53832.19047619044,66480.38095238087,61782.66666666663,59580.952380952294,59463.047619047604,59060.952380952294,59323.498068891495,60975.658314088,62024.60983081984,64728.2117863616,67631.46366055464,68961.20693165308,71839.85565625827,74183.24222195827,76632.97447096766,78857.66572555632,80401.11027803527,83085.62757795778,85934.99371653062,86515.02882301979,87723.1906315254,88871.67141447045,88732.12175427149,88315.33437308841,89408.60202993825,90445.46936624365,91054.38534298466,90669.08973407444,89917.13090730009,90754.55839518667,91333.43710814982,93036.82053946084,95327.35045235022,99287.69119583163,102305.55745886383,103687.29462168243,102781.69761711621,104218.70476033125,105227.50774959748
Male,73,39534.0,39960.0,39620.0,35817.90476190468,37878.0,40906.19047619044,43110.28571428565,43263.00407090443,45567.644099156234,55620.478257432624,51797.07229799783,50118.79685325346,49853.54790276847,49721.647351252046,50023.370382152614,51413.54223402202,52329.99971626106,54556.876586696875,56971.622176856865,58146.27517148867,60595.99285276899,62557.34740703328,64631.07139285707,66577.7000282119,67933.48744343547,70244.33315656101,72657.02246439966,73253.44700992428,74310.98707925962,75328.25341874224,75244.92257780003,74986.92755687023,75905.57971624084,76848.5631408649,77390.58045984726,77106.61554482701,76518.91939490609,77262.20942909719,77776.68909276246,79242.0195089574
Male,27,166266.0,170260.57142857142,168477.14285714284,163543.71428571426,168164.28571428565,165180.66666666663,161416.3809523809,160773.4908486975,157627.36693732403,156573.14887084803,160049.8489976097,159623.92208529782,161705.5022190933,162018.86646418547,160683.53997995568,161149.38756129687,160592.54875919042,159534.20725512746,158648.86774982285,161438.38247779087,163898.23477756028,166310.0700217274,169266.69187486122,172854.01230849104,176891.0867194162,177088.46474881127,179423.4490519442,182059.00193174707,183096.02681077266,180323.94897749525,178266.62275089681,177902.8901472882,178500.95805678237,175971.270830002,175840.48384867626,176119.87956061627,176319.6660748009,176466.21537867346,176676.93724783268,176914.64793361962
