id,value,feed_id,date
0E9F3J7H6SX0B2K0XT1X4FPYGB,ON,1038820,2019-10-23 17:30:34
0E9F44BMDHAPV3HE34H260F4C0,OFF,1038820,2019-10-23 18:02:15
0E9F44J4YZDA63JFE3BF4G7RWJ,ON,1038820,2019-10-23 18:02:36
0E9F6J9PKN5NWWV084XT8JT9WA,OFF,1038820,2019-10-23 20:18:28
0E9F6RS68CS29XPBXV1QRDV2ZF,OFF,1038820,2019-10-23 20:29:47
0E9F7M5GC1MB2JXA5JJE1KDKFG,ON,1038820,2019-10-23 21:17:39
0E9FCTCGHMX7P4F4W6ZWES4AAC,OFF,1038820,2019-10-24 02:08:08
0E9FCTCH6H99T9GAN1DX3TSVE8,ON,1038820,2019-10-24 02:08:08
0E9FCTFM4B9HNWVXFPPK8H8PM5,ON,1038820,2019-10-24 02:08:18
0E9FCTFMFMBGWKPFYRC87EDVGA,OFF,1038820,2019-10-24 02:08:19
0E9FEZ5VV3AHDY1NK7S1F609YE,ON,1038820,2019-10-24 04:08:22
0E9FEZ5WVQVGQKB6Z60F708PBN,OFF,1038820,2019-10-24 04:08:22
0E9FN1EMHHGVK67AS7QQ52QES7,ON,1038820,2019-10-24 09:47:53
0E9FS5K1RCXH4A84N30B93DV82,ON,1038820,2019-10-24 13:38:48
0E9FSP3TBXW54ZN5SQSFHD1H46,OFF,1038820,2019-10-24 14:07:41
0E9FSZ5Z85K6NH57BZJ1FXKBJC,ON,1038820,2019-10-24 14:23:32
0E9FYDQV6HZ8ZG02FCEGS2JWFF,OFF,1038820,2019-10-24 18:32:40
0E9FYPBB15S0YT357JHXPSBAMC,ON,1038820,2019-10-24 18:47:43
0E9FZTAS3F4PFZHJHZ7Y2T0BEY,OFF,1038820,2019-10-24 19:50:36
0E9FZTQ1DW2TFBFH9A6Z2H43WX,ON,1038820,2019-10-24 19:51:16
0E9GCS1BAHX25SZB7CHEEH6JWF,OFF,1038820,2019-10-25 07:55:21
0E9GD18R84DB2J7NCZN1DCPB2Y,ON,1038820,2019-10-25 08:09:44
0E9GS3G8W37ZVJ9HMWRX41N9CZ,OFF,1038820,2019-10-25 19:24:44
0E9GSHS0TB6R61FJ8T55ZTW4TT,ON,1038820,2019-10-25 19:49:40
0E9GY4S2M6GAV42BCERQFW8TN4,OFF,1038820,2019-10-26 00:06:35
0E9GY53ZQZB1ZDNRJBX03DWT95,ON,1038820,2019-10-26 00:07:11
0E9GY5KNCJAYBRVKER2MXN6R83,OFF,1038820,2019-10-26 00:08:02
0E9GYC6GHZBR1A3DF3TZF2ZCV1,ON,1038820,2019-10-26 00:19:33
0E9H5A0W4VMKGKPFK3JSY3B9MR,OFF,1038820,2019-10-26 06:47:13
0E9H5A0X5ASJA3JCK78J814P2T,ON,1038820,2019-10-26 06:47:13
0E9HPA1NHA6KYAEW3XDCWCCT5V,OFF,1038820,2019-10-26 22:37:58
0E9HPC7JMQJQT3D9C7Z3T21PQ0,ON,1038820,2019-10-26 22:41:47
0E9HQ7JRSPMYKCQY2G3TRYRF9T,OFF,1038820,2019-10-26 23:29:35
0E9HQD5N63TK6406A4PXRJ3HBZ,ON,1038820,2019-10-26 23:39:21
0E9HVV4PSWDVTVJK7QYNZ985YC,OFF,1038820,2019-10-27 03:47:28
0E9J7YXE9X8V81GB798RP1B2JZ,OFF,1038820,2019-10-27 15:05:09
0E9J89S1T5QV0EB57A3F862799,ON,1038820,2019-10-27 15:24:08
0E9JDH5EHZSK6K9E262XRAM4Z3,OFF,1038820,2019-10-27 20:16:39
0E9JDPS14QCSPAPZX534BGQ97V,ON,1038820,2019-10-27 20:26:28
0E9JVWNVKP3F9ZMCYQG5WY8SYF,OFF,1038820,2019-10-28 09:39:43
0E9JVYJQQ0RFTH5DQ4SQ0KGYZ4,ON,1038820,2019-10-28 09:43:02
0E9K2AG84TBT4377K2E7NK1MN3,OFF,1038820,2019-10-28 15:39:25
0E9K66SN8XC0GAMEX27M6Z4GGP,ON,1038820,2019-10-28 19:16:38
0E9KQQ15WD84EMHYWGPS2QEXBT,OFF,1038820,2019-10-29 11:35:43
0E9KQQ163DQJD0QDEZG44QXP07,ON,1038820,2019-10-29 11:35:43
0E9KRH1E58H3GT7TA1NXYSSAKS,OFF,1038820,2019-10-29 12:21:10
0E9KW6QV6G1PKYYKSR8Y89B3CZ,ON,1038820,2019-10-29 15:46:52
0E9KXVVQ0JB5F1H3PE8C8EMVZA,OFF,1038820,2019-10-29 17:19:42
0E9KXX4H0BWHV36C2A93JQ1AXR,ON,1038820,2019-10-29 17:21:56
0E9M17RCEK9D5YFQA2802B0D57,OFF,1038820,2019-10-29 20:28:16
0E9M196EWFVW7PWW1AYJYY6148,ON,1038820,2019-10-29 20:30:47
0E9MK70KVD14809KVQRVWGREEJ,OFF,1038820,2019-10-30 13:13:36
0E9MQQXQWSF1SCFQE22YQRQM7D,ON,1038820,2019-10-30 17:26:51
0E9NG3Z3ZSKBDSZ2TBSHVAXHH3,OFF,1038820,2019-10-31 16:10:04
0E9NGRNYQN728J08HKF8JEDNC4,ON,1038820,2019-10-31 16:46:16
0E9NJB2G9DKRJYM23WT1R57AE2,OFF,1038820,2019-10-31 18:14:20
0E9NJBBY7GW769JMGTZF5NRXQP,ON,1038820,2019-10-31 18:14:51
0E9P25G7QXGZ6BW5F8VT53KXF0,OFF,1038820,2019-11-01 08:59:23
0E9P8BA8DAV409JQM1VDQRG0XJ,ON,1038820,2019-11-01 14:45:06
0E9P9WQBDHEC5084YBMF354MKB,OFF,1038820,2019-11-01 16:11:26
0E9PA1SE87RAGXWTV1YM1YT7CD,ON,1038820,2019-11-01 16:20:18
0E9PBFAX6BXY4NG2NRWDQ94DSQ,OFF,1038820,2019-11-01 17:39:53
0E9PKNSNZ7A2BT16EDGJ7PAAQW,ON,1038820,2019-11-02 01:18:35
0E9Q1CPNZ9KB5JQ4CWDHBE3MMQ,OFF,1038820,2019-11-02 14:05:37
0E9Q1G2FGWQDXWWN046WAF9MB1,ON,1038820,2019-11-02 14:11:30
0E9Q2M694HW6J78JGJJ5QR3X67,OFF,1038820,2019-11-02 15:14:38
0E9Q7ZDRQDACD0XQ8BQ2T9XTQ3,ON,1038820,2019-11-02 20:13:53
0E9R3JTMD8TGS1D5BNBS69HY1N,OFF,1038820,2019-11-03 21:57:44
0E9R3PZ7BBWRP8DVM6AEYXNE5W,ON,1038820,2019-11-03 22:04:59
0E9RBK0ZPFNYFBGKBCDZDH8XXP,OFF,1038820,2019-11-04 05:25:29
0E9RBK26X0BSV8MFGWA0ZC5YMK,ON,1038820,2019-11-04 05:25:33
0E9RBMCYC539PDMGFEC5Y978Q0,ON,1038820,2019-11-04 05:27:53
0E9RBMCYKGN2W12T4ZQSRZNSMS,OFF,1038820,2019-11-04 05:27:53
0E9RBMZNBCTESMW2EJ2QGB8FGF,OFF,1038820,2019-11-04 05:28:54
0E9RBMZNRGDYYPFT3SB49WWF6J,ON,1038820,2019-11-04 05:28:54
0E9RNC53G6ESXR08KF7M8V9D52,OFF,1038820,2019-11-04 14:32:43
0E9RQF9F3D2C3GRQ24RPFQD73T,ON,1038820,2019-11-04 16:30:02
